5periodo,4periodo,3periodo,2periodo,1periodo,10periodo
593.0,579.0,0.0,0.0,0,2004.0
1199.0,945.0,556.0,322.0,94,2400.0
1189.0,950.0,709.0,473.0,231,2373.0
1192.0,954.0,669.0,475.0,238,2408.0
1188.0,945.0,715.0,478.0,238,2396.0
1184.0,942.0,713.0,480.0,237,2385.0
1185.0,960.0,719.0,476.0,239,2406.0
1198.0,942.0,697.0,479.0,234,2392.0
1182.0,947.0,700.0,481.0,235,1236.0
1205.0,963.0,703.0,475.0,235,0.0
1203.0,955.0,725.0,476.0,238,0.0
1192.0,945.0,707.0,474.0,234,0.0
1196.0,940.0,709.0,480.0,237,0.0
1196.0,936.0,704.0,484.0,233,0.0
1192.0,954.0,709.0,475.0,234,0.0
1196.0,935.0,716.0,479.0,231,0.0
1194.0,935.0,715.0,477.0,240,0.0
316.0,934.0,705.0,475.0,236,0.0
0.0,898.0,706.0,481.0,236,0.0
0.0,952.0,716.0,479.0,234,NaN
0.0,947.0,702.0,473.0,243,NaN
0.0,542.0,705.0,476.0,240,NaN
0.0,0.0,711.0,479.0,239,NaN
0.0,0.0,712.0,472.0,237,NaN
0.0,0.0,690.0,481.0,245,NaN
0.0,0.0,716.0,472.0,238,NaN
0.0,0.0,705.0,477.0,243,NaN
0.0,0.0,717.0,473.0,236,NaN
NaN,0.0,702.0,479.0,241,NaN
NaN,0.0,347.0,472.0,239,NaN
NaN,0.0,0.0,477.0,241,NaN
NaN,0.0,0.0,482.0,239,NaN
NaN,NaN,0.0,468.0,238,NaN
NaN,NaN,0.0,483.0,235,NaN
NaN,NaN,0.0,476.0,246,NaN
NaN,NaN,0.0,475.0,227,NaN
NaN,NaN,0.0,477.0,238,NaN
NaN,NaN,0.0,485.0,235,NaN
NaN,NaN,0.0,482.0,234,NaN
NaN,NaN,0.0,468.0,234,NaN
NaN,NaN,NaN,478.0,233,NaN
NaN,NaN,NaN,471.0,238,NaN
NaN,NaN,NaN,476.0,238,NaN
NaN,NaN,NaN,129.0,241,NaN
NaN,NaN,NaN,0.0,235,NaN
NaN,NaN,NaN,0.0,236,NaN
NaN,NaN,NaN,0.0,233,NaN
NaN,NaN,NaN,0.0,234,NaN
NaN,NaN,NaN,0.0,241,NaN
NaN,NaN,NaN,0.0,245,NaN
NaN,NaN,NaN,0.0,240,NaN
NaN,NaN,NaN,0.0,241,NaN
NaN,NaN,NaN,0.0,239,NaN
NaN,NaN,NaN,0.0,238,NaN
NaN,NaN,NaN,NaN,242,NaN
NaN,NaN,NaN,NaN,240,NaN
NaN,NaN,NaN,NaN,241,NaN
NaN,NaN,NaN,NaN,237,NaN
NaN,NaN,NaN,NaN,241,NaN
NaN,NaN,NaN,NaN,233,NaN
NaN,NaN,NaN,NaN,238,NaN
NaN,NaN,NaN,NaN,239,NaN
NaN,NaN,NaN,NaN,238,NaN
NaN,NaN,NaN,NaN,239,NaN
NaN,NaN,NaN,NaN,233,NaN
NaN,NaN,NaN,NaN,229,NaN
NaN,NaN,NaN,NaN,236,NaN
NaN,NaN,NaN,NaN,234,NaN
NaN,NaN,NaN,NaN,239,NaN
NaN,NaN,NaN,NaN,235,NaN
NaN,NaN,NaN,NaN,235,NaN
NaN,NaN,NaN,NaN,232,NaN
NaN,NaN,NaN,NaN,228,NaN
NaN,NaN,NaN,NaN,241,NaN
NaN,NaN,NaN,NaN,236,NaN
NaN,NaN,NaN,NaN,240,NaN
NaN,NaN,NaN,NaN,236,NaN
NaN,NaN,NaN,NaN,230,NaN
NaN,NaN,NaN,NaN,235,NaN
NaN,NaN,NaN,NaN,236,NaN
NaN,NaN,NaN,NaN,231,NaN
NaN,NaN,NaN,NaN,233,NaN
NaN,NaN,NaN,NaN,237,NaN
NaN,NaN,NaN,NaN,234,NaN
NaN,NaN,NaN,NaN,233,NaN
NaN,NaN,NaN,NaN,235,NaN
NaN,NaN,NaN,NaN,20,NaN
NaN,NaN,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,0,NaN
